NN size,Encoding rate,Encoding,Network,Decoding,Rotating,yolo,Server,Frame Rate,Confidence,Cumulative Confidence
128,25,3,3.8,1.3,0.1,9.3,11.2,43.4782608695652,"[0.863731, 0.895867]",1.759598
128,25,4,6.3,2.3,0.1,10.8,14.7,38.4615384615385,[0.525558],0.525558
128,25,4,5.7,1.5,0.1,9.2,11.3,43.4782608695652,[],0
128,25,3,5.2,1.9,0.1,10.8,13.8,38.4615384615385,[0.719471],0.719471
128,25,5,4.7,0.9,0.1,10.9,12.3,41.6666666666667,"[0.783315, 0.69952]",1.482835
128,25,4,6.9,2.1,0.1,10.7,14.1,38.4615384615385,[],0
128,25,3,4.4,1.2,0.1,10.7,12.6,40,"[0.789867, 0.607299, 0.591348]",1.988514
128,25,3,5,1.9,0.1,11,14,35.7142857142857,"[0.851126, 0.840602, 0.804347, 0.80238, 0.621024, 0.563979]",4.483458
128,25,4,5.2,1.7,0.1,9.3,11.8,43.4782608695652,[],0
128,25,6,6,0.7,0.1,8.4,10,41.6666666666667,"[0.875448, 0.714505, 0.63792]",2.227873
128,25,4,6.3,2.5,0.1,10.7,14.7,37.037037037037,[0.98758],0.98758
128,25,4,4.5,1.3,0.1,11.6,13.5,41.6666666666667,[0.80406],0.80406
128,25,5,4.9,1.6,0.1,10.7,13.1,37.037037037037,"[0.966493, 0.803788, 0.544064]",2.314345
128,25,4,5.5,1.7,0.1,10.7,13.5,41.6666666666667,[0.611097],0.611097
128,25,2,4.1,0.3,0,7.4,7.9,58.8235294117647,[],0
128,25,5,4.2,0.3,0,7.3,7.8,50,[],0
128,25,3,6,1.5,0.1,10.7,13,41.6666666666667,"[0.882027, 0.819518]",1.701545
128,25,4,6.1,1.8,0.1,10.8,13.9,38.4615384615385,[0.611939],0.611939
128,25,3,5.4,1,0.1,14.2,15.6,35.7142857142857,[0.921934],0.921934
128,25,6,8.9,2,0.1,10.8,14.1,33.3333333333333,[],0
128,25,3,6.5,1.7,0.2,10.8,13.5,33.3333333333333,"[0.996578, 0.989223, 0.984162, 0.966953, 0.956347, 0.895378]",5.788641
128,25,4,5.7,1.3,0.1,9.2,11.3,41.6666666666667,"[0.979293, 0.97827, 0.918827]",2.87639
128,25,4,5.8,1.5,0.1,9.6,12.2,40,[],0
128,25,4,4.2,2,0.1,8.7,11.8,43.4782608695652,"[0.754894, 0.724137, 0.501507]",1.980538
128,25,3,6.3,0.7,0.1,7.5,8.7,50,"[0.929375, 0.581029]",1.510404
128,25,2,4,1.4,0.3,10.7,13,43.4782608695652,[0.832351],0.832351
128,25,6,4.4,1.6,0.1,9.2,11.6,33.3333333333333,"[0.935626, 0.92262, 0.91276, 0.910957, 0.895882, 0.85744, 0.628233]",6.063518
128,25,3,5.3,0.5,0.1,7.8,8.7,55.5555555555556,"[0.829104, 0.962545]",1.791649
128,25,4,5.2,1.2,0.3,10.7,12.8,43.4782608695652,[],0
128,25,5,4.4,1.5,0.1,9.2,11.6,45.4545454545455,[],0
128,25,7,6.2,0.9,0.1,8.5,9.8,40,[0.698154],0.698154
128,25,5,3.6,1.9,0.1,9.2,12.4,40,[0.672259],0.672259
128,25,3,4.6,0.5,0,7.5,8.4,58.8235294117647,[],0
128,25,8,8.6,2.7,0.1,10.8,15.4,29.4117647058823,[],0
128,25,5,6.2,2.2,0.1,10.8,14.8,35.7142857142857,"[0.875588, 0.634368]",1.509956
128,25,5,5,1.6,0.1,9.2,12,37.037037037037,"[0.936815, 0.889273, 0.864457, 0.719243]",3.409788
128,25,3,4.4,0.6,0.1,7.5,8.6,55.5555555555556,[0.960629],0.960629
128,25,3,5.4,1.4,0.3,11.2,13.6,43.4782608695652,[0.958434],0.958434
128,25,7,5.3,2.1,0.1,9.2,12.7,34.4827586206897,[],0
128,25,4,4.3,0.7,0,8.5,9.7,45.4545454545455,"[0.975603, 0.554216]",1.529819
128,25,7,5,2.2,0.2,14.2,17,30.3030303030303,[0.660017],0.660017
128,25,3,3.7,1.6,0.1,10.8,13.3,41.6666666666667,"[0.577903, 0.778207]",1.35611
128,25,4,4.4,1.1,0.3,10.9,12.6,41.6666666666667,[0.532333],0.532333
128,25,3,4.8,1.3,0.1,9.2,11.2,47.6190476190476,[0.869714],0.869714
128,25,4,6,0.4,0,7.3,8,47.6190476190476,"[0.774579, 0.681236]",1.455815
128,25,4,5.8,0.8,0.2,7.8,9.2,47.6190476190476,[0.804267],0.804267
128,25,4,7.3,1.9,0.1,10.8,13.7,37.037037037037,[],0
128,25,4,4.7,1.1,0.1,9.5,11.3,40,[0.992792],0.992792
128,25,5,5,0.9,0.1,8.4,10,43.4782608695652,"[0.849316, 0.818715, 0.740295, 0.60687]",3.015196
128,25,3,6.4,1.6,0.1,9.3,11.6,43.4782608695652,[0.994384],0.994384
128,25,4,6,1,0.1,10.2,12,41.6666666666667,[0.9146],0.9146
128,25,4,8.5,1.7,0.1,10.8,13.5,37.037037037037,[],0
128,25,4,4.8,1.4,0.1,9.1,11.2,47.6190476190476,[],0
128,25,3,5.5,0.7,0.1,8.2,9.5,55.5555555555556,[],0
128,25,5,5.4,1.4,0.1,9.2,11.6,40,"[0.915815, 0.833406, 0.816871, 0.502623]",3.068715
128,25,5,6.3,1.5,0.1,10.8,13.7,34.4827586206897,[0.959045],0.959045
128,25,2,3.4,1.3,0.1,10.7,12.6,47.6190476190476,[0.900555],0.900555
128,25,3,6,1.9,0.1,9,12,45.4545454545455,[0.695079],0.695079
128,25,3,5.7,1.1,0.1,7.5,9.3,52.6315789473684,[],0
128,25,6,6.2,1.3,0.1,10.6,12.8,38.4615384615385,[0.972578],0.972578
128,25,4,5.8,2,0.1,10.9,14.2,40,[0.984465],0.984465
128,25,4,5.6,1.7,0.1,10.7,13.4,38.4615384615385,[0.922191],0.922191
128,25,4,5.7,1,0.3,10.8,12.3,40,"[0.644326, 0.979343]",1.623669
128,25,4,5.9,2.2,0.1,10.7,14.1,38.4615384615385,[0.990173],0.990173
128,25,4,5.5,1.3,0.1,9.3,11.5,45.4545454545455,[0.575188],0.575188
128,25,4,7,0.6,0.1,7.8,9,47.6190476190476,[0.923472],0.923472
128,25,5,4.7,1.3,0.1,11,13.3,40,"[0.644917, 0.635162]",1.280079
128,25,4,2.3,1.4,0.1,10.7,12.7,50,[],0
128,25,3,4.6,1.4,0.1,9.1,11.4,50,[0.895013],0.895013
128,25,6,5.1,1.2,0.1,7.8,9.9,47.6190476190476,[],0
128,25,4,4.5,0.6,0,7.4,8.5,52.6315789473684,"[0.510594, 0.914621]",1.425215
128,25,4,4.8,2.1,0.1,8.9,12.2,41.6666666666667,[0.944847],0.944847
128,25,3,4.6,0.5,0.1,7.5,8.4,58.8235294117647,[0.79109],0.79109
128,25,3,4.9,1.4,0.1,10.8,13.1,43.4782608695652,[0.538614],0.538614
128,25,4,7.3,1.5,0.1,10.8,13.7,37.037037037037,"[0.755191, 0.654878, 0.599547, 0.590538, 0.590272, 0.581887, 0.52128]",4.293593
128,25,5,5.7,1.5,0.1,10.7,13.3,41.6666666666667,[0.963382],0.963382
128,25,4,5.9,2,0.1,8.8,12.1,43.4782608695652,[],0
128,25,5,4.1,1.4,0.2,10.8,12.9,43.4782608695652,[],0
128,25,7,6.8,2.1,0.1,10.7,14.2,34.4827586206897,[0.529532],0.529532
128,25,6,6.2,1.1,0.1,11.2,12.8,37.037037037037,[0.975588],0.975588
128,25,4,5.7,0.4,0,7.4,8.3,50,"[0.943969, 0.914786, 0.726696]",2.585451
128,25,2,5.7,1.4,0.3,11.1,13.3,43.4782608695652,"[0.942479, 0.844188, 0.589376]",2.376043
128,25,4,6.8,1.5,0.3,10.8,13.2,41.6666666666667,[],0
128,25,4,4.7,1.5,0.1,10.7,13.3,43.4782608695652,[0.506517],0.506517
128,25,4,5.2,2.1,0.1,14.5,17.8,34.4827586206897,[0.587108],0.587108
